国家,汇总,2020/4/1,2020/4/2,2020/4/3,2020/4/4,2020/4/5,2020/4/6,2020/4/7,2020/4/8,2020/4/9,2020/4/10,2020/4/11,2020/4/12,2020/4/13,2020/4/14,2020/4/15,2020/4/16,2020/4/17,2020/4/18,2020/4/19,2020/4/20,2020/4/21,2020/4/22,2020/4/23,2020/4/24,2020/4/25,2020/4/26,2020/4/27,2020/4/28,2020/4/29,2020/4/30
美国,1064572,189800,216722,245646,279500,312249,337971,368533,402463,435780,475237,505237,534494,561159,588465,615406,645922,679762,710272,740151,767189,794330,826184,850078,889391,928364,963472,988932,1013128,1037151,1064572
西班牙,236899,102136,110238,117710,124736,130759,135032,140510,146690,152446,157022,161852,166019,169496,172541,177633,182816,188068,191726,195944,200210,204178,208389,213024,219764,223759,223759,236199,232128,236899,236899
意大利,203591,105792,110574,115242,119827,124632,128948,132547,135586,139422,143626,147577,152271,156363,159516,162488,165155,168941,172434,175925,178972,181228,183957,187327,189973,192994,195351,197675,199414,201505,203591
法国,166420,52836,57763,59929,83029,90853,93780,98984,110070,113982,118790,125931,130730,133672,137877,143303,147863,165027,149132,152978,154097,156493,159300,159877,159495,159952,161665,162220,165842,165911,166420
英国,165221,29474,33718,38168,41903,47806,48451,52310,55957,61487,65872,78991,84279,88621,93873,98476,103093,108692,115299,121168,121173,125856,133495,138078,143464,148377,149569,154037,157149,161145,165221
德国,161824,74508,80060,87244,92081,97073,100338,104199,109329,113615,119401,122855,125834,127854,131074,132553,135549,138456,142283,144348,146551,147593,149358,151456,153758,155931,157460,158849,159070,160599,161824
土耳其,117589,13531,15679,18135,20921,23934,27069,30217,34109,38226,42282,47029,52167,56956,61049,65111,69392,78546,78546,82329,86306,90980,95591,98674,101790,104912,107773,110130,112261,114653,117589
俄罗斯,106498,2777,3548,4149,4731,5389,6343,7497,8672,10131,11917,13584,15770,18328,21102,24490,27938,32008,36793,42853,47121,52763,57999,62773,68622,74588,80949,87147,93558,99399,106498
伊朗,94640,47593,50468,53183,55743,58226,60500,62589,64586,66220,68192,70029,71686,73303,74877,76389,77995,79494,80868,82211,83505,84802,85996,87026,88194,89328,90481,91472,92584,93657,94640
巴西,79685,5812,6932,8165,9216,10431,11477,12341,14152,16275,18176,19967,21042,22318,23955,25758,29165,30891,34485,36925,39144,40814,43592,46348,50512,54043,59324,63328,67446,73235,79685
加拿大,51597,8591,10121,11284,12549,14022,15940,16667,17897,19438,20765,22148,23318,24804,25680,27063,28379,30973,32857,34386,35056,37933,39405,40191,43286,44526,45493,47147,49616,50026,51597
比利时,48519,13964,15348,16770,18431,19961,20814,22194,23403,24983,26667,28018,29647,30789,31119,33573,34809,36138,37183,38496,39983,40956,41889,42797,44293,45327,46134,46687,47334,47859,48519
荷兰,38802,13614,14779,15819,16627,17953,18803,19580,20549,21762,23097,24413,25587,26710,27419,28153,29214,30449,31766,32834,33405,34134,35026,35729,36727,37384,38039,38245,38416,38802,38802
秘鲁,33931,1065,1323,1414,1595,1746,2281,2561,2954,4342,5256,5897,6848,7519,9784,10303,11475,12491,13489,14420,15628,16325,17837,19250,20914,21648,25331,27517,28699,31190,33931
印度,33062,1637,2069,2567,3082,3588,4553,4911,5480,6237,7062,7997,8504,9352,10815,11933,12759,13835,14792,16365,17656,18985,20471,21797,23502,24942,26917,28380,29974,31787,33062
瑞士,29407,17137,18267,19303,20278,21100,21652,22242,22789,23799,24427,24900,25328,25623,25913,26336,26732,27078,27404,27740,27944,28063,28268,28496,28677,28894,29061,29164,29264,29407,29407
厄瓜多尔,24675,2240,2758,3163,3368,3465,3646,3747,3995,4550,4965,7161,7257,7466,7529,7603,7858,8225,8450,9022,9468,10128,10398,10850,11183,22719,22719,22719,23240,24258,24675
葡萄牙,24505,8251,9034,9886,10524,11278,11730,12442,13141,13956,15472,15987,16585,16934,17448,18091,18841,19022,19685,20206,20863,21379,21982,22353,22797,23392,23864,24027,24322,24505,24505
沙特阿拉伯,21402,1563,1885,2039,2179,2385,2523,2795,2932,3287,3651,4033,4462,4934,5369,5862,6380,7142,8274,9362,10484,11631,12772,13930,15102,16299,17522,18811,20077,21402,21402
瑞典,20302,4947,5466,6078,6443,6830,7206,7693,8419,9141,9685,10151,10483,10948,11445,11927,12540,13216,13822,14385,14777,15322,16004,16755,17567,18177,18640,18926,19621,20302,20302
爱尔兰,20253,3235,3447,3849,4273,4604,4994,5364,5709,6074,6574,8089,8928,9655,10647,11479,12547,13271,13980,14758,15251,15652,16040,16671,17607,18184,18561,19262,19648,19877,20253
墨西哥,17799,1215,1378,1510,1688,1890,2143,2439,2785,3181,3441,3844,4219,4661,5014,5399,5847,6297,6875,7497,8261,8772,9501,10544,11633,12872,13842,14677,15529,16752,17799
以色列,15870,5591,6360,7030,7589,8018,8611,9006,9404,9755,10095,10525,10878,11235,11868,12200,12591,12855,13107,13362,13654,13883,14326,14592,14882,15148,15398,15466,15589,15782,15870
巴基斯坦,15759,2071,2291,2458,2708,3123,3277,4005,4194,4462,4695,4970,5170,5374,5837,5988,6919,7025,7638,7993,8418,9216,9749,10811,11155,12227,12723,13328,14079,15289,15759
奥地利,15452,10501,10927,11412,11781,11920,12236,12547,12881,13163,13494,13782,13945,14013,14159,14325,14451,14553,14671,14696,14795,14873,14925,15002,15071,15148,15225,15274,15357,15402,15452
智利,15315,3031,3404,3737,3737,4161,4771,4815,5546,5972,5972,6501,7213,7525,7525,8273,8273,9252,9252,9730,10507,10507,10832,11296,11812,12306,12858,13331,13813,14365,15315
白俄罗斯,14027,163,257,351,440,562,700,861,1066,1486,1981,2226,2578,2919,3281,3728,4204,4779,4779,4779,6264,6264,7281,8022,8773,9590,10463,11289,12208,13181,14027
波兰,12781,2347,2633,3149,3503,3834,4201,4532,5000,5341,5742,6088,6356,6674,7049,7408,7771,8214,8563,9082,9453,9737,10034,10346,10759,11067,11395,11761,12089,12415,12781
卡塔尔,12564,781,835,949,1075,1325,1604,1832,2210,2376,2512,2728,2979,3231,3428,3711,4103,4663,5008,5448,6015,6533,7141,7764,8525,9358,10287,11244,11921,12564,12564
罗马尼亚,12240,2460,2738,3183,3613,3864,4057,4417,4761,5202,5467,5990,6300,6633,6879,7216,7707,8067,8418,8746,8936,9242,9710,10096,10417,10635,11036,11339,11616,11978,12240
韩国,10765,9887,9976,10062,10156,10237,10284,10331,10384,10423,10450,10480,10512,10537,10564,10591,10613,10635,10653,10661,10674,10683,10694,10702,10708,10718,10728,10738,10752,10761,10765
乌克兰,10406,669,804,942,1096,1251,1319,1462,1668,1892,2203,2511,2777,3102,3372,3764,4161,4662,5106,5449,5710,6125,6592,7170,7647,8125,8617,9009,9410,9866,10406
印度尼西亚,10118,1677,1790,1986,2092,2273,2491,2738,2956,3293,3512,3842,4241,4557,4839,5136,5516,5923,6248,6575,6760,7135,7418,7775,8211,8607,8882,9096,9511,9771,10118
丹麦,9158,3092,3542,3861,4077,4561,4647,4978,5386,5635,5830,6014,6191,6369,6513,6876,6879,7074,7437,7580,7711,7711,8108,8108,8271,8643,8773,8773,9049,9049,9158
塞尔维亚,8724,1060,1171,1476,1624,1908,2200,2447,2666,2867,3105,3380,3630,4054,4465,4873,5318,5690,5994,6318,6630,6890,7114,7276,7483,7779,8042,8275,8497,8724,8724
菲律宾,8488,2311,2633,3018,3094,3246,3660,3764,3870,4076,4195,4428,4648,4932,5223,5453,5660,5878,6087,6259,6459,6599,6710,6981,7192,7294,7579,7777,7958,8212,8488
挪威,7710,4828,5083,5296,5519,5686,5760,5866,6086,6160,6244,6360,6485,6527,6623,6740,6798,6937,7036,7078,7122,7191,7275,7361,7401,7493,7499,7527,7599,7680,7710
孟加拉国,7667,54,56,61,70,88,123,164,218,330,424,482,621,803,1012,1231,1572,1838,2144,2456,2948,3382,3772,4186,4689,4998,5416,5913,6462,7103,7667
捷克,7581,3330,3604,3869,4194,4475,4591,4828,5033,5335,5589,5735,5905,5991,6059,6151,6303,6437,6553,6657,6787,6914,7041,7136,7188,7273,7352,7408,7449,7504,7581
多米尼加,6652,1284,1284,1488,1488,1745,1828,1956,2111,2111,2349,2620,2759,3167,3286,3614,3755,4126,4126,4335,4964,4964,5044,5300,5543,5749,6135,6293,6293,6416,6652
巴拿马,6378,1075,1317,1475,1673,1801,1988,2100,2249,2528,2752,2974,3234,3400,3472,3574,3751,4016,4210,4273,4467,4658,4821,4992,5166,5338,5538,5779,6021,6200,6378
哥伦比亚,6211,906,1065,1161,1267,1406,1485,1579,1780,2054,2223,2473,2709,2776,2852,2979,3105,3233,3439,3621,3792,3977,4149,4356,4561,4881,5142,5379,5597,5949,6211
南非,5350,1353,1380,1462,1505,1585,1655,1749,1749,1845,2003,2003,2028,2173,2415,2415,2506,2605,2783,3034,3158,3300,3465,3635,3953,4220,4361,4546,4793,4996,5350
埃及,5268,710,779,865,985,1070,1173,1322,1450,1560,1699,1794,1939,2065,2190,2350,2505,2673,2844,3032,3144,3333,3490,3659,3891,4092,4319,4534,4782,5042,5268
